CVE ID	CWE ID	Vulnerability Types	Publish Date	Update Date	CVSS Score	Gained Access Level	Access	Complexity	Authentication	Confidentialy	Integrity	Availability	Description
CVE-2018-1999047	275		2018-08-23	2018-10-26	4.0	None	Remote	Low	Single system	None	Partial	None	A improper authorization vulnerability exists in Jenkins 2.137 and earlier, 2.121.2 and earlier in UpdateCenter.java that allows attackers to cancel a Jenkins restart scheduled through the update center.
CVE-2018-1999046	200	+Info	2018-08-23	2018-10-16	4.0	None	Remote	Low	Single system	Partial	None	None	A exposure of sensitive information vulnerability exists in Jenkins 2.137 and earlier, 2.121.2 and earlier in Computer.java that allows attackers With Overall/Read permission to access the connection log for any agent.
CVE-2018-1999045	287		2018-08-23	2018-10-29	5.5	None	Remote	Low	Single system	Partial	Partial	None	A improper authentication vulnerability exists in Jenkins 2.137 and earlier, 2.121.2 and earlier in SecurityRealm.java, TokenBasedRememberMeServices2.java that allows attackers with a valid cookie to remain logged in even if that feature is disabled.
CVE-2018-1999044	399	DoS	2018-08-23	2018-10-16	4.0	None	Remote	Low	Single system	None	None	Partial	A denial of service vulnerability exists in Jenkins 2.137 and earlier, 2.121.2 and earlier in CronTab.java that allows attackers with Overall/Read permission to have a request handling thread enter an infinite loop.
CVE-2018-1999043	399	DoS	2018-08-23	2018-10-26	5.0	None	Remote	Low	Not required	None	None	Partial	A denial of service vulnerability exists in Jenkins 2.137 and earlier, 2.121.2 and earlier in BasicAuthenticationFilter.java, BasicHeaderApiTokenAuthenticator.java that allows attackers to create ephemeral in-memory user records by attempting to log in using invalid credentials.
CVE-2018-1999042	502		2018-08-23	2018-10-26	5.0	None	Remote	Low	Not required	Partial	None	None	A vulnerability exists in Jenkins 2.137 and earlier, 2.121.2 and earlier in XStream2.java that allows attackers to have Jenkins resolve a domain name when deserializing an instance of java.net.URL.
CVE-2018-1999041	200	+Info	2018-08-01	2018-10-03	2.1	None	Local	Low	Not required	Partial	None	None	An exposure of sensitive information vulnerability exists in Jenkins Tinfoil Security Plugin 1.6.1 and earlier in TinfoilScanRecorder.java that allows attackers with file system access to the Jenkins master to obtain the API secret key stored in this plugin's configuration.
CVE-2018-1999040	255		2018-08-01	2018-10-03	4.0	None	Remote	Low	Single system	Partial	None	None	An exposure of sensitive information vulnerability exists in Jenkins Kubernetes Plugin 1.10.1 and earlier in KubernetesCloud.java that allows attackers to capture credentials with a known credentials ID stored in Jenkins.
CVE-2018-1999039	918		2018-08-01	2018-10-15	4.0	None	Remote	Low	Single system	None	Partial	None	A server-side request forgery vulnerability exists in Jenkins Confluence Publisher Plugin 2.0.1 and earlier in ConfluenceSite.java that allows attackers to have Jenkins submit login requests to an attacker-specified Confluence server URL with attacker specified credentials.
CVE-2018-1999038	441		2018-08-01	2018-10-15	4.9	None	Remote	Medium	Single system	Partial	Partial	None	A confused deputy vulnerability exists in Jenkins Publisher Over CIFS Plugin 0.10 and earlier in CifsPublisherPluginDescriptor.java that allows attackers to have Jenkins connect to an attacker specified CIFS server with attacker specified credentials.
CVE-2018-1999037	20		2018-08-01	2018-10-10	4.0	None	Remote	Low	Single system	None	Partial	None	A data modification vulnerability exists in Jenkins Resource Disposer Plugin 0.11 and earlier in AsyncResourceDisposer.java that allows attackers to stop tracking a resource.
CVE-2018-1999036	255		2018-08-01	2018-10-03	4.0	None	Remote	Low	Single system	Partial	None	None	An exposure of sensitive information vulnerability exists in Jenkins SSH Agent Plugin 1.15 and earlier in SSHAgentStepExecution.java that exposes the SSH private key password to users with permission to read the build log.
CVE-2018-1999035	295		2018-08-01	2018-10-05	5.8	None	Remote	Medium	Not required	Partial	Partial	None	A man in the middle vulnerability exists in Jenkins Inedo BuildMaster Plugin 1.3 and earlier in BuildMasterConfiguration.java, BuildMasterConfig.java, BuildMasterApi.java that allows attackers to impersonate any service that Jenkins connects to.
CVE-2018-1999034	295		2018-08-01	2018-10-09	5.8	None	Remote	Medium	Not required	Partial	Partial	None	A man in the middle vulnerability exists in Jenkins Inedo ProGet Plugin 0.8 and earlier in ProGetApi.java, ProGetConfig.java, ProGetConfiguration.java that allows attackers to impersonate any service that Jenkins connects to.
